Title,Date,Time,Fees,Info,Coach,Court,Registrants,Revenue
Private Lesson w/Pro - Any level,2024-08-19,9:00 AM - 10:00 AM,100.0,Full,Garrett Peterson,Court #1,1,100.0
Drill w/Expert - Intermediate,2024-08-19,11:00 AM - 12:00 PM,25.0,Full,,Court #1,4,100.0
Open-Play,2024-08-19,12:00 PM - 3:00 PM,15.0,3 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",61,915.0
Private Lesson w/Pro - Any level,2024-08-19,3:00 PM - 4:00 PM,100.0,Full,Garrett Peterson,Court #1,1,100.0
Private Lesson w/Pro - Any level,2024-08-19,4:00 PM - 5:00 PM,100.0,Full,Jacob Stegall,Court #1,1,100.0
Ladies Beginner (<3.0),2024-08-19,7:00 PM - 9:00 PM,140.0,$140.00 / 6 dates + tax,,"Court #1, Court #2, Court #3",12,1680.0
Open-Play,2024-08-19,9:00 PM - 12:00 AM,15.0,1 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",63,945.0
Drill w/Expert - Beginner/Advanced Beginner,2024-08-19,6:00 PM - 7:00 PM,25.0,Full,,Court #2,4,100.0
Open-Play,2024-08-19,7:00 AM - 10:00 AM,15.0,1 of 12 spots remaining,,"Court #3, Court #4",11,165.0
Silver Pickleball (50+) Open-Play,2024-08-19,9:00 AM - 12:00 PM,15.0,Full,,"Court #6, Court #7, Court #8",26,390.0
Open-Play,2024-08-20,7:00 AM - 10:00 AM,15.0,Full,,"Court #1, Court #2",13,195.0
Drill w/Expert - Advanced Intermediate,2024-08-20,10:00 AM - 11:00 AM,25.0,2 of 4 spots remaining,,Court #1,2,50.0
Open-Play,2024-08-20,12:00 PM - 3:00 PM,15.0,Full,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",64,960.0
Drill w/Expert - Intermediate,2024-08-20,3:00 PM - 4:00 PM,25.0,1 of 4 spots remaining,,Court #1,3,75.0
Private Lesson w/Pro - Beginner/Advanced Beginner or Intermediate,2024-08-20,5:00 PM - 6:00 PM,100.0,Full,Garrett Peterson,Court #1,1,100.0
Open-Play,2024-08-20,9:00 PM - 12:00 AM,15.0,1 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",63,945.0
Silver Pickleball (50+) Open-Play,2024-08-20,9:00 AM - 12:00 PM,15.0,6 of 32 spots remaining,,"Court #5, Court #6, Court #7, Court #8",26,390.0
Drill w/Expert - 4.0+ (Advanced),2024-08-20,5:00 PM - 6:00 PM,25.0,Full,,Court #5,4,100.0
Ladies’ Intermediate League (DUPR 2.75 – 3.70),2024-08-20,7:00 PM - 9:00 PM,160.0,$160.00 / 6 dates + tax,,"Court #5, Court #6, Court #7",14,2240.0
Open-Play,2024-08-21,7:00 AM - 10:00 AM,15.0,2 of 12 spots remaining,,"Court #1, Court #3",10,150.0
Private Lesson w/Pro - Any level,2024-08-21,11:00 AM - 12:00 PM,100.0,Full,Jacob Stegall,Court #1,1,100.0
Open-Play,2024-08-21,12:00 PM - 3:00 PM,15.0,21 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",43,645.0
Private Lesson w/Pro - Any level,2024-08-21,3:00 PM - 4:00 PM,100.0,Full,Jacob Stegall,Court #1,1,100.0
Private Lesson w/Pro - Beginner/Advanced Beginner or Intermediate,2024-08-21,4:00 PM - 5:00 PM,100.0,Full,Garrett Peterson,Court #1,1,100.0
Singles Clinic,2024-08-21,5:00 PM - 7:00 PM,40.0,"Full
-1 REGISTRANT(S) WAITLISTED",Jacob Stegall,"Court #1, Court #2, Court #3, Court #4",8,320.0
Open-Play,2024-08-21,9:00 PM - 12:00 AM,15.0,1 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",63,945.0
Private Lesson w/Pro - Any level,2024-08-21,8:00 AM - 9:00 AM,100.0,Full,Garrett Peterson,Court #2,1,100.0
Drill w/Expert - Beginner/Advanced Beginner,2024-08-21,11:00 AM - 12:00 PM,25.0,Full,,Court #3,4,100.0
Silver Pickleball (50+) Open-Play,2024-08-21,9:00 AM - 12:00 PM,15.0,1 of 32 spots remaining,,"Court #5, Court #6, Court #7, Court #8",31,465.0
Private Lesson w/Pro - Any level,2024-08-21,3:00 PM - 4:00 PM,100.0,Full,Austin Gridley,Court #5,1,100.0
Private Lesson w/Pro - Any level,2024-08-21,4:00 PM - 5:00 PM,100.0,Full,Austin Gridley,Court #5,1,100.0
Play with Pro - Advanced Intermediate,2024-08-21,5:00 PM - 6:00 PM,30.0,Full,,Court #5,3,90.0
Private Lesson w/Pro - Any level,2024-08-21,6:00 PM - 7:00 PM,100.0,Full,Austin Gridley,Court #5,1,100.0
Men's Intermediate League (DUPR 2.75 – 3.70),2024-08-21,7:00 PM - 9:00 PM,160.0,$160.00 / 6 dates + tax,,"Court #6, Court #7, Court #8",16,2560.0
Open,2024-08-21,3:00 PM-4:00 PM,0.0,0,None,Court #2,0,0.0
Open,2024-08-21,3:00 PM-4:00 PM,0.0,0,None,Court #7,0,0.0
Open-Play,2024-08-22,7:00 AM - 10:00 AM,15.0,Full,,"Court #1, Court #2, Court #3",22,330.0
"Private Lesson w/Pro - Beginner, Advanced Beginner or Intermediate",2024-08-22,11:00 AM - 12:00 PM,100.0,Full,Jill Wright,Court #1,1,100.0
Open-Play,2024-08-22,12:00 PM - 3:00 PM,15.0,5 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",59,885.0
Open-Play,2024-08-22,9:00 PM - 12:00 AM,15.0,Full,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",64,960.0
Private Lesson w/Pro - Any level,2024-08-22,6:00 PM - 7:00 PM,100.0,Full,Jacob Stegall,Court #2,1,100.0
Silver+ Intermediate (3.0+),2024-08-22,10:00 AM - 12:00 PM,140.0,$140.00 / 6 dates + tax,,"Court #3, Court #4",9,1260.0
Play with Pro - Beginner,2024-08-22,8:00 PM - 9:00 PM,30.0,Full,,Court #4,3,90.0
Advanced Intermediate Clinic,2024-08-22,7:00 PM - 9:00 PM,30.0,Full,Austin Gridley,"Court #5, Court #6, Court #7",12,360.0
Silver Pickleball (50+) Open-Play,2024-08-22,9:00 AM - 12:00 PM,15.0,1 of 24 spots remaining,,"Court #6, Court #7, Court #8",23,345.0
Open-Play,2024-08-23,7:00 AM - 10:00 AM,15.0,Full,,"Court #1, Court #2",17,255.0
Play with Pro - Beginner & Advanced Beginner,2024-08-23,10:00 AM - 11:00 AM,30.0,Full,,Court #1,3,90.0
"Private Lesson w/Pro - Beginner, Advanced Beginner or Intermediate",2024-08-23,11:00 AM - 12:00 PM,100.0,Full,Jill Wright,Court #1,1,100.0
Open-Play,2024-08-23,12:00 PM - 3:00 PM,15.0,Full,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",64,960.0
Play with Pro - Intermediate,2024-08-23,3:00 PM - 4:00 PM,30.0,Full,,Court #1,3,90.0
Private Lesson w/Pro - Beginner/Advanced Beginner or Intermediate,2024-08-23,4:00 PM - 5:00 PM,100.0,Full,Jill Wright,Court #1,1,100.0
Play with Pro - Intermediate,2024-08-23,5:00 PM - 6:00 PM,30.0,Full,,Court #1,3,90.0
Open-Play,2024-08-23,9:00 PM - 12:00 AM,15.0,Full,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",64,960.0
Private Lesson w/Pro - Any level,2024-08-23,3:00 PM - 4:00 PM,100.0,Full,Jacob Stegall,Court #2,1,100.0
Drill w/Expert - Advanced Intermediate,2024-08-23,4:00 PM - 5:00 PM,25.0,Full,,Court #2,4,100.0
Private Lesson w/Pro - Any level,2024-08-23,9:00 AM - 10:00 AM,100.0,Full,Garrett Peterson,Court #3,1,100.0
Silver Pickleball (50+) Open-Play,2024-08-23,9:00 AM - 12:00 PM,15.0,"Full
-4 REGISTRANT(S) WAITLISTED",,"Court #5, Court #6, Court #7, Court #8",32,480.0
Private Lesson w/Pro - Any level,2024-08-23,4:00 PM - 5:00 PM,100.0,Full,Austin Gridley,Court #8,1,100.0
Cream of the Crop - Advanced 4.5+,2024-08-24,7:00 AM - 10:00 AM,15.0,4 of 12 spots remaining,Shellton Jean Baptiste,"Court #1, Court #2",8,120.0
Open-Play,2024-08-24,12:00 PM - 3:00 PM,15.0,Full,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",64,960.0
Drill w/Expert - Advanced Intermediate,2024-08-24,5:00 PM - 6:00 PM,25.0,Full,,Court #1,4,100.0
Play with Pro - Advanced Intermediate,2024-08-24,6:00 PM - 7:00 PM,30.0,Full,,Court #1,3,90.0
Open-Play,2024-08-24,9:00 PM - 12:00 AM,15.0,4 of 64 spots remaining,,"Court #1, Court #2, Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",60,900.0
Private Lesson w/Pro - Any Level,2024-08-24,10:00 AM - 11:00 AM,100.0,Full,Austin Gridley,Court #2,1,100.0
Drill w/Expert - Intermediate,2024-08-24,11:00 AM - 12:00 PM,25.0,Full,,Court #2,4,100.0
Mixed Doubles Beginner-Intermediate (<3.49),2024-08-17,3:00 PM - 5:00 PM,140.0,$140.00 / 6 dates + tax,,"Court #2, Court #3",10,1400.0
Play with Pro - Beginner & Advanced Beginner,2024-08-24,6:00 PM - 7:00 PM,30.0,Full,,Court #2,3,90.0
Open-Play,2024-08-24,7:00 AM - 10:00 AM,15.0,2 of 50 spots remaining,,"Court #3, Court #4, Court #5, Court #6, Court #7, Court #8",48,720.0
Intermediate Clinic,2024-08-24,10:00 AM - 12:00 PM,30.0,Full,,"Court #5, Court #6, Court #7",12,360.0
Beginner Clinic,2024-08-24,7:00 PM - 9:00 PM,30.0,Full,Jacob Stegall,"Court #5, Court #6, Court #7",12,360.0
Reserved,2024-08-19,,20.0,Fees For 30 mins slot,,Court #1,16,320.0
Reserved,2024-08-20,,20.0,Fees For 30 mins slot,,Court #1,16,320.0
Reserved,2024-08-21,,20.0,Fees For 30 mins slot,,Court #1,12,240.0
Reserved,2024-08-22,,20.0,Fees For 30 mins slot,,Court #1,20,400.0
Reserved,2024-08-23,,20.0,Fees For 30 mins slot,,Court #1,12,240.0
Reserved,2024-08-24,,20.0,Fees For 30 mins slot,,Court #1,18,360.0
Reserved,2024-08-19,,20.0,Fees For 30 mins slot,,Court #2,22,440.0
Reserved,2024-08-20,,20.0,Fees For 30 mins slot,,Court #2,22,440.0
Reserved,2024-08-21,,20.0,Fees For 30 mins slot,,Court #2,20,400.0
Reserved,2024-08-22,,20.0,Fees For 30 mins slot,,Court #2,20,400.0
Reserved,2024-08-23,,20.0,Fees For 30 mins slot,,Court #2,18,360.0
Reserved,2024-08-24,,20.0,Fees For 30 mins slot,,Court #2,16,320.0
Reserved,2024-08-17,,20.0,Fees For 30 mins slot,,Court #2,30,600.0
Reserved,2024-08-19,,20.0,Fees For 30 mins slot,,Court #3,18,360.0
Reserved,2024-08-20,,20.0,Fees For 30 mins slot,,Court #3,28,560.0
Reserved,2024-08-21,,20.0,Fees For 30 mins slot,,Court #3,16,320.0
Reserved,2024-08-22,,20.0,Fees For 30 mins slot,,Court #3,18,360.0
Reserved,2024-08-23,,20.0,Fees For 30 mins slot,,Court #3,26,520.0
Reserved,2024-08-24,,20.0,Fees For 30 mins slot,,Court #3,22,440.0
Reserved,2024-08-17,,20.0,Fees For 30 mins slot,,Court #3,30,600.0
Reserved,2024-08-19,,20.0,Fees For 30 mins slot,,Court #4,22,440.0
Reserved,2024-08-20,,20.0,Fees For 30 mins slot,,Court #4,28,560.0
Reserved,2024-08-21,,20.0,Fees For 30 mins slot,,Court #4,24,480.0
Reserved,2024-08-22,,20.0,Fees For 30 mins slot,,Court #4,22,440.0
Reserved,2024-08-23,,20.0,Fees For 30 mins slot,,Court #4,28,560.0
Reserved,2024-08-24,,20.0,Fees For 30 mins slot,,Court #4,22,440.0
Reserved,2024-08-19,,20.0,Fees For 30 mins slot,,Court #5,28,560.0
Reserved,2024-08-20,,20.0,Fees For 30 mins slot,,Court #5,16,320.0
Reserved,2024-08-21,,20.0,Fees For 30 mins slot,,Court #5,14,280.0
Reserved,2024-08-22,,20.0,Fees For 30 mins slot,,Court #5,24,480.0
Reserved,2024-08-23,,20.0,Fees For 30 mins slot,,Court #5,22,440.0
Reserved,2024-08-24,,20.0,Fees For 30 mins slot,,Court #5,14,280.0
Reserved,2024-08-19,,20.0,Fees For 30 mins slot,,Court #6,22,440.0
Reserved,2024-08-20,,20.0,Fees For 30 mins slot,,Court #6,18,360.0
Reserved,2024-08-21,,20.0,Fees For 30 mins slot,,Court #6,18,360.0
Reserved,2024-08-22,,20.0,Fees For 30 mins slot,,Court #6,18,360.0
Reserved,2024-08-23,,20.0,Fees For 30 mins slot,,Court #6,22,440.0
Reserved,2024-08-24,,20.0,Fees For 30 mins slot,,Court #6,14,280.0
Reserved,2024-08-19,,20.0,Fees For 30 mins slot,,Court #7,22,440.0
Reserved,2024-08-20,,20.0,Fees For 30 mins slot,,Court #7,18,360.0
Reserved,2024-08-21,,20.0,Fees For 30 mins slot,,Court #7,16,320.0
Reserved,2024-08-22,,20.0,Fees For 30 mins slot,,Court #7,18,360.0
Reserved,2024-08-23,,20.0,Fees For 30 mins slot,,Court #7,22,440.0
Reserved,2024-08-24,,20.0,Fees For 30 mins slot,,Court #7,14,280.0
Reserved,2024-08-19,,20.0,Fees For 30 mins slot,,Court #8,22,440.0
Reserved,2024-08-20,,20.0,Fees For 30 mins slot,,Court #8,22,440.0
Reserved,2024-08-21,,20.0,Fees For 30 mins slot,,Court #8,18,360.0
Reserved,2024-08-22,,20.0,Fees For 30 mins slot,,Court #8,22,440.0
Reserved,2024-08-23,,20.0,Fees For 30 mins slot,,Court #8,20,400.0
Reserved,2024-08-24,,20.0,Fees For 30 mins slot,,Court #8,22,440.0
